episode,reward_mean,reward_std,fn_rate,fp_rate,probes_mean
100,-0.129,1.067,0.09,0.14,1.02
200,-0.1445,1.0265,0.08,0.16,0.99
300,-0.1755,0.9377,0.08,0.14,0.87
400,-0.056,0.8132,0.06,0.07,0.74
500,0.0915,0.6808,0.03,0.07,0.45
600,0.035,0.6852,0.03,0.07,0.62
700,0.1155,0.4853,0.01,0.03,0.77
800,0.068,0.733,0.05,0.0,0.56
900,0.052,0.7383,0.05,0.03,0.68
1000,0.017,0.7738,0.05,0.05,0.74
1100,0.0665,0.6221,0.03,0.03,0.59
1200,0.0505,0.6429,0.04,0.01,0.51
1300,0.0485,0.4857,0.01,0.05,0.69
1400,0.152,0.4069,0.01,0.02,0.92
1500,0.093,0.6301,0.03,0.03,1.0
1600,0.101,0.5689,0.03,0.0,0.8
1700,0.141,0.409,0.01,0.01,0.66
1800,0.1605,0.2508,0.0,0.0,0.69
1900,0.1145,0.6246,0.04,0.0,0.97
2000,0.085,0.5507,0.02,0.02,0.9
2100,0.0525,0.6861,0.05,0.02,1.01
2200,0.1365,0.4931,0.02,0.02,0.81
2300,0.2135,0.2609,0.0,0.0,0.77
2400,0.178,0.3074,0.0,0.02,0.98
2500,0.1835,0.3302,0.0,0.02,1.15
2600,0.1025,0.7022,0.05,0.0,1.07
2700,0.1,0.8125,0.07,0.0,1.14
2800,0.083,0.5816,0.03,0.02,1.22
2900,0.085,0.5249,0.02,0.03,1.1
3000,0.2095,0.2765,0.0,0.0,0.91
3100,0.085,0.7121,0.05,0.0,0.84
3200,0.0505,0.7544,0.05,0.03,0.95
3300,-0.004,0.7765,0.06,0.02,0.82
3400,0.0385,0.8009,0.06,0.03,0.89
3500,0.102,0.6243,0.04,0.0,0.92
3600,0.124,0.459,0.01,0.04,0.9
3700,0.142,0.4038,0.01,0.01,0.88
3800,0.1105,0.5785,0.03,0.02,0.97
3900,0.1905,0.2427,0.0,0.0,0.99
4000,0.22,0.2771,0.0,0.01,0.94
4100,0.1785,0.2897,0.0,0.01,1.01
4200,0.107,0.4958,0.02,0.0,1.18
4300,0.144,0.3188,0.0,0.02,1.08
4400,0.159,0.3514,0.0,0.03,1.22
4500,0.216,0.2541,0.0,0.0,1.08
4600,0.079,0.7321,0.05,0.01,1.34
4700,0.239,0.5074,0.02,0.01,1.42
4800,0.092,0.6841,0.05,0.02,1.16
4900,-0.0925,1.027,0.11,0.03,1.37
5000,0.0145,0.783,0.06,0.06,1.29
5100,0.1145,0.7042,0.04,0.05,1.15
5200,0.105,0.6711,0.03,0.07,1.28
5300,0.058,0.8399,0.06,0.09,1.38
5400,0.2695,0.4709,0.01,0.01,1.19
5500,0.1965,0.8764,0.06,0.03,1.37
5600,0.3285,0.6522,0.01,0.05,1.33
5700,0.3105,0.9217,0.07,0.01,1.55
5800,0.568,0.6425,0.02,0.01,1.78
5900,0.479,0.7607,0.03,0.02,1.68
6000,0.4145,0.9093,0.06,0.0,1.73
6100,0.3435,0.8339,0.04,0.06,1.85
6200,0.64,0.7029,0.02,0.02,1.84
6300,0.7285,0.8655,0.05,0.04,1.97
6400,0.8915,0.5712,0.01,0.05,1.93
6500,0.9105,0.5439,0.0,0.07,1.97
6600,0.664,1.0401,0.09,0.02,1.92
6700,0.9235,0.5917,0.02,0.02,2.05
6800,0.8155,0.7389,0.02,0.08,2.15
6900,0.777,0.7439,0.01,0.11,2.24
7000,0.899,0.7124,0.03,0.03,2.12
7100,1.032,0.4143,0.01,0.01,2.02
7200,1.0245,0.2921,0.0,0.02,2.05
7300,1.0215,0.3623,0.01,0.0,2.07
7400,1.008,0.4315,0.01,0.01,2.26
7500,1.002,0.4923,0.02,0.0,2.26
7600,1.0425,0.2358,0.0,0.01,2.09
7700,1.0505,0.2206,0.0,0.01,2.11
7800,1.053,0.1554,0.0,0.0,1.98
7900,1.0345,0.3171,0.0,0.02,2.11
8000,1.031,0.3784,0.01,0.0,2.34
8100,1.0315,0.3658,0.01,0.0,2.33
8200,0.8955,0.7844,0.05,0.01,2.35
8300,1.1045,0.1269,0.0,0.0,2.71
8400,0.999,0.5073,0.01,0.03,2.64
8500,1.0755,0.4075,0.01,0.01,2.85
8600,1.052,0.4619,0.01,0.01,3.0
8700,1.0255,0.5506,0.02,0.01,2.99
8800,1.0755,0.398,0.01,0.0,3.05
8900,1.02,0.5543,0.02,0.01,3.2
9000,1.046,0.5271,0.02,0.01,3.0
9100,1.096,0.2573,0.0,0.01,3.04
9200,1.1155,0.1007,0.0,0.0,3.05
9300,1.029,0.5606,0.02,0.01,2.92
9400,1.0705,0.4089,0.01,0.01,2.91
9500,1.088,0.2322,0.0,0.01,3.1
9600,1.0195,0.4416,0.0,0.0,2.93
9700,1.1005,0.2524,0.0,0.01,2.87
9800,1.0595,0.4142,0.01,0.01,2.99
9900,1.0745,0.3713,0.01,0.0,3.09
10000,1.1195,0.0768,0.0,0.0,2.95
10100,1.105,0.1092,0.0,0.0,2.88
10200,0.5305,1.3351,0.12,0.0,3.23
10300,-0.026,1.6577,0.25,0.0,3.36
10400,0.7565,0.784,0.02,0.02,3.27
10500,1.0595,0.1471,0.0,0.0,3.19
10600,1.0785,0.2518,0.0,0.01,2.93
10700,1.097,0.2849,0.0,0.02,3.1
10800,1.019,0.552,0.02,0.01,3.22
10900,1.103,0.2918,0.0,0.02,3.14
11000,1.008,0.5988,0.03,0.0,3.18
11100,0.9615,0.566,0.0,0.08,3.05
11200,0.99,0.654,0.03,0.02,3.42
11300,1.09,0.3496,0.0,0.03,3.4
11400,1.0935,0.402,0.01,0.01,3.65
11500,1.1105,0.2529,0.0,0.01,3.65
11600,1.137,0.2258,0.0,0.01,3.76
11700,0.945,0.791,0.05,0.0,3.84
11800,0.2895,0.9741,0.01,0.36,3.55
11900,0.374,0.682,0.0,0.14,3.46
12000,0.5645,0.5899,0.0,0.07,3.57
12100,0.9905,0.3975,0.0,0.02,3.45
12200,1.016,0.5044,0.01,0.02,3.62
12300,0.6025,1.0383,0.06,0.16,3.41
12400,1.104,0.2888,0.0,0.01,3.36
12500,0.9725,0.6894,0.03,0.01,3.49
12600,1.096,0.382,0.01,0.0,3.6
12700,1.026,0.3572,0.0,0.0,3.76
12800,1.053,0.43,0.01,0.0,3.68
12900,1.012,0.5563,0.01,0.05,3.48
13000,0.856,0.9959,0.09,0.0,3.68
13100,0.981,0.7113,0.04,0.01,3.36
13200,1.161,0.0817,0.0,0.0,3.7
13300,0.365,1.4808,0.23,0.0,3.84
13400,0.146,1.5189,0.26,0.02,3.82
13500,0.5555,1.1549,0.13,0.02,3.75
13600,0.5185,1.2874,0.14,0.0,3.29
13700,-0.016,1.6573,0.29,0.0,3.26
13800,-0.324,1.7142,0.4,0.0,3.16
13900,-0.2305,1.6836,0.37,0.0,2.87
14000,-0.1175,1.6521,0.33,0.0,2.69
14100,-0.4435,1.7368,0.43,0.0,2.55
14200,-0.421,1.7521,0.41,0.0,2.78
14300,-0.47,1.7222,0.42,0.0,2.58
14400,-0.287,1.6577,0.35,0.0,2.66
14500,-0.425,1.6206,0.37,0.01,2.46
14600,0.2185,1.3418,0.19,0.0,2.29
14700,0.4055,0.9032,0.06,0.01,2.51
14800,0.835,0.4017,0.0,0.0,2.36
14900,1.021,0.3093,0.0,0.01,2.46
15000,0.9815,0.4959,0.01,0.02,2.37
15100,1.014,0.3484,0.0,0.01,2.28
15200,0.827,0.806,0.05,0.0,2.04
15300,0.761,0.718,0.0,0.14,2.02
15400,0.6285,0.8185,0.0,0.19,2.07
15500,0.897,0.4704,0.0,0.05,2.06
15600,0.9065,0.6135,0.02,0.02,2.41
15700,0.9965,0.5814,0.02,0.01,2.65
15800,1.009,0.4855,0.01,0.02,2.74
15900,1.0465,0.3776,0.0,0.03,2.79
16000,1.129,0.0732,0.0,0.0,2.98
16100,1.1555,0.0674,0.0,0.0,3.47
16200,-0.255,1.6701,0.38,0.0,3.2
16300,0.02,1.5746,0.3,0.01,3.18
16400,0.9155,0.7078,0.04,0.0,3.11
16500,1.0375,0.2806,0.0,0.01,3.15
16600,1.0245,0.3807,0.01,0.0,3.39
16700,1.0965,0.147,0.0,0.0,3.39
16800,1.095,0.1986,0.0,0.0,3.42
16900,1.1405,0.1297,0.0,0.0,3.53
17000,1.148,0.1466,0.0,0.0,3.7
17100,1.148,0.1037,0.0,0.0,3.84
17200,1.1345,0.1579,0.0,0.0,3.77
17300,1.1245,0.2964,0.0,0.02,3.71
